grdid,all_ihs_dist_km_sog_gt01,all_ihs_dist_km_sog_gt10,boem_ihs_dist_km_sog_gt01,boem_ihs_dist_km_sog_gt10
8912,25066.165000000005,21331.139000000006,8971.815,7756.075999999998
8913,24642.790000000008,20678.909,9093.772000000003,7574.353000000001
8914,19537.286000000007,16429.499,7207.423999999999,6000.094
8915,19087.195000000003,16598.576999999994,4527.7970000000005,3847.4299999999994
8916,174302.75,162365.88999999998,60180.640000000014,55401.64399999999
8917,64788.864,59979.63900000001,23546.059999999994,21392.824
8918,10008.232999999998,8684.803,3826.514999999999,3177.9520000000007
8919,4264.481,3505.9489999999987,1157.5230000000001,808.1569999999999
8920,2831.3890000000006,2204.519,687.9119999999999,412.2320000000001
8921,2514.6609999999996,1976.2259999999994,944.0140000000001,617.159
8922,3035.345,2358.2749999999996,1722.2099999999998,1242.709
8923,2509.4850000000006,1920.7339999999997,1392.7610000000002,923.5359999999998
8924,1733.1470000000004,1250.188,767.6179999999998,395.955
8925,1524.3329999999999,1060.788,693.5859999999999,342.9270000000001
8926,1650.5649999999994,1090.7369999999999,819.6080000000001,336.2439999999999
8927,1523.4859999999994,1089.5649999999996,717.0500000000001,376.323
8928,1975.2249999999997,1401.7759999999998,885.0170000000002,501.137
8929,3047.4519999999998,1794.7349999999997,1706.0539999999996,730.7510000000001
8930,4473.69,2537.9510000000005,2984.5530000000017,1320.4409999999998
8931,6751.584999999998,4001.0750000000003,3998.984,1682.931
8932,9303.928000000004,6105.2260000000015,3788.6840000000007,1361.6629999999998
8933,43038.117,38857.31100000001,14569.399000000003,12056.541
8934,21084.852000000003,18341.732,8288.027,6467.068000000002
8935,124281.47700000001,117251.07999999994,38406.925999999985,35029.255000000005
8936,65394.88200000001,61067.051000000014,21772.744,19247.194000000003
8937,34068.821,31362.666999999994,8158.24,6568.071999999998
8938,34621.16599999999,31597.85100000001,6644.308000000003,4865.688999999999
8939,24007.511,21623.628999999997,3639.5930000000003,2307.4950000000003
8940,11613.490000000002,10141.471000000001,1889.7769999999998,1037.9080000000001
8941,8203.4,6746.777999999999,1905.8899999999992,912.5180000000001
8942,7836.423,6348.274,2392.1270000000004,1376.0759999999996
8943,6913.176,5623.825000000001,1753.9269999999997,934.2590000000001
8944,6760.350999999999,4658.897000000001,2687.5679999999993,994.602
8945,7807.366999999998,4296.201999999999,4366.977000000001,1201.946
8946,8423.966,4633.641,5233.581,1709.158
8947,13753.059999999998,7461.253999999997,10392.000999999998,4373.501999999999
8948,8966.382999999998,4998.442000000001,5639.384000000002,1944.018
8949,9869.752,6272.444000000002,6611.815999999996,3324.1720000000014
8950,12645.034000000003,7519.956,9471.563,4680.201999999998
8951,23756.094000000005,14918.299999999997,18868.446,10475.812000000002
8952,24663.492000000002,14902.243999999999,16753.244,7650.481999999999
8953,19325.223,12120.943000000003,14399.145999999999,7586.661999999999
8954,13075.274000000003,8065.517,9131.587,4409.466
8955,15095.807999999995,8493.683,12630.706,6274.5070000000005
8956,17449.639,11924.88,13014.875999999998,7999.418999999997
8957,15182.953999999996,10763.993000000002,8552.045999999997,4723.194
8958,17517.865000000005,14363.03,6124.481999999998,3765.637000000001
8959,17113.375,13910.206,7679.021000000001,5209.623999999999
8960,9578.853000000001,7099.765,3942.454,2169.7080000000005
8961,5844.466000000001,3909.1159999999995,2448.0370000000003,1071.041
8962,4736.9710000000005,3285.408999999999,1905.129,1005.764
8963,5694.783999999999,4298.696,2076.639,1230.982
8964,7324.3009999999995,6038.786999999999,2033.438,1246.879
8965,5266.629,4304.274,1022.0060000000001,623.9250000000001
8966,6480.4000000000015,5344.464,1066.334,665.9830000000001
8967,7130.401000000001,6112.907,1207.127,851.756
8968,24005.574000000004,22559.170999999995,2545.3090000000007,2065.483
8969,82399.20899999999,78181.472,8183.471999999999,7392.012
8970,50898.973999999995,47760.764999999985,5107.22,4459.451
8971,23805.195,20842.35099999999,3216.3059999999987,2532.2780000000002
8972,11379.263,9591.638,2012.8120000000004,1472.9729999999997
8973,7338.598000000001,6277.263000000002,1226.776,775.1619999999999
8974,8013.322,6845.3640000000005,1011.246,581.625
8975,7856.57,6672.254000000002,1106.575,609.0989999999999
8976,7664.683000000001,6283.978,1381.9049999999995,807.3779999999999
8977,9080.59,7565.7339999999995,1258.1079999999997,776.9399999999999
8978,6304.013999999999,5191.863,1177.342,582.9820000000001
8979,4903.895,3955.2690000000002,927.8999999999999,433.643
8980,4537.88,3738.4929999999995,673.9069999999998,392.499
8981,7945.992,7186.464000000002,811.8929999999999,586.329
8982,9434.013000000003,8659.594000000001,1707.4450000000002,1471.183
8983,13403.691,12436.412999999997,1840.9730000000002,1646.341
8984,13994.588,12762.777999999998,1944.7490000000005,1667.5210000000006
8985,7311.124999999999,6244.847,820.6630000000001,487.23999999999995
8986,12280.756,10153.364000000003,618.014,441.55300000000005
8987,4436.648999999999,3619.0879999999997,550.9550000000002,364.56899999999996
8988,3577.3659999999995,2888.023,441.29400000000004,294.465
8989,3596.6369999999997,2963.44,494.25800000000004,338.0799999999999
8990,3882.9829999999997,3233.685,511.45599999999996,349.58400000000006
8991,4534.113,3890.2549999999997,510.7310000000001,358.786
8992,4887.265,4188.711,621.1320000000001,456.715
8993,8410.672,7420.433999999999,1025.285,669.7270000000001
8994,8594.508999999998,7172.384999999999,859.7760000000001,604.669
8995,7807.355999999999,6738.620999999999,898.934,618.5439999999998
8996,6631.445,5582.4220000000005,809.6780000000001,496.659
8997,7237.061999999997,6179.941999999998,843.6099999999999,521.611
8998,8056.183000000001,6970.592000000001,945.0240000000001,609.038
8999,8421.499,7290.918000000001,957.2020000000001,611.113
9000,9023.949,7874.734,1015.7169999999999,686.5210000000001
9001,9245.402,8049.4349999999995,957.2990000000002,667.6489999999998
9002,10435.232999999998,8974.219999999998,975.3100000000001,641.4979999999999
9003,16290.830999999998,13745.729,966.5980000000001,649.9649999999999
9004,17388.483999999997,14568.583,1016.89,649.3170000000001
9005,18267.35,15300.550999999996,1117.1119999999999,654.4359999999998
9006,20542.981999999996,17348.921999999995,1322.5359999999996,777.2160000000002
9007,17645.772,14890.864999999998,1275.294,708.559
9008,15570.479000000001,13197.876,1257.9840000000002,717.5000000000002
9009,15628.973000000002,13173.087000000001,1336.615,752.3960000000001
9010,16523.535000000003,13897.774000000001,1402.873,758.7499999999998
9011,17431.897999999997,14488.922000000002,1489.6889999999999,787.5320000000003
9012,17448.660000000003,14431.425000000001,1585.4329999999998,856.8290000000002
9013,17853.267000000003,14550.130999999996,1724.7670000000003,916.3259999999999
9014,18456.883999999995,14811.618,1896.5259999999996,952.414
9015,19138.233999999993,14972.268,2134.0699999999997,1015.134
9016,21630.948,16696.033,2835.047000000001,1391.585
9017,24756.657,18533.806,4093.3160000000003,1958.9299999999994
9018,27319.738000000012,19881.468,5326.089999999998,2592.9840000000004
9019,28725.893999999997,20668.927,5751.416,2689.878999999999
9020,31189.663000000008,21710.101,6511.545,2717.0820000000003
9021,35103.778,22841.291999999998,7834.825999999999,2921.9290000000005
9022,40147.17499999999,20959.121999999996,8493.687000000002,2559.328
9023,78072.76000000001,54754.34000000001,13839.328000000001,4904.201000000002
9024,139776.57700000002,114267.17499999999,24971.454999999994,10633.074000000002
9025,139058.082,116206.05799999999,22581.573999999993,11329.543999999994
9026,196742.52799999996,148759.468,45924.046,19995.495000000003
9027,35577.047,25601.921000000002,10551.087,4467.294000000001
9062,35223.994999999995,8697.315,21502.226,5055.521
9063,138000.428,97380.984,65000.655,39614.95099999999
9064,33984.119999999995,23758.787,15673.613000000003,9145.416
